x,y,z
331.4262116,68.88780214,0
329.4145389,68.87196951,0
331.3288488,53.32442369,0
329.3329683,53.32700422,0
331.4262136,-38.13027168,0
329.4149284,-38.08628398,0
331.4451131,-57.07968502,0
329.4175953,-57.11413179,0
331.4428469,-148.5718437,0
329.5411903,-148.5234518,0
331.4092017,-167.5843162,0
329.6173506,-167.5675604,0
306.1728242,-267.7716639,0
305.2028167,-266.7807512,0
292.0645489,-281.9129817,0
290.6340916,-280.4871647,0
277.9590365,-278.0508989,0
275.4805981,-278.0692186,0
294.9179876,-260.3791964,0
292.7630855,-259.1850729,0
-2.531269457,-278.0629022,0
-0.610519794,-278.0498212,0
-2.518539663,-259.0823807,0
-0.510781229,-259.0657892,0
-2.551215114,-167.6059545,0
-0.41319032,-167.6142116,0
-2.598853398,-148.603208,0
-0.622390394,-148.6079471,0
-2.539268665,-57.12523578,0
-0.706999477,-57.16185743,0
-2.572049649,-38.1609078,0
-0.710597732,-38.12616741,0
-2.420835475,53.29312792,0
-0.562134408,53.30139628,0
-2.483158638,68.82251087,0
-0.748814077,68.83683535,0
-38.48381228,68.78596444,0
-39.86895829,68.78098623,0
-38.59269968,53.30469237,0
-40.51911312,53.29305,0
-38.43658668,-38.12485195,0
-40.53749735,-38.11307419,0
-38.38294797,-57.1499346,0
-40.49314984,-57.15998182,0
-38.54582086,-148.5921568,0
-40.54869829,-148.6024667,0
-38.44389505,-167.6148181,0
-40.37467528,-167.6091726,0
-38.52293438,-259.0706152,0
-40.53576261,-259.053298,0
-38.49285964,-278.051734,0
-40.75302247,-278.0755833,0
-343.9269654,-278.0946432,0
-341.9913495,-278.109802,0
-343.9906815,-259.0611194,0
-341.9895694,-259.0290373,0
-343.9509858,-167.6235098,0
-341.9606459,-167.6269499,0
-343.9889501,-148.6404445,0
-341.9637435,-148.6220893,0
-343.9471795,-57.19496933,0
-342.0776281,-57.22022724,0
-343.9717436,-38.19455459,0
-342.0927002,-38.16451311,0
-343.992064,53.26989559,0
-342.0584136,53.22050837,0
-344.1173594,68.75282157,0
-341.9776851,68.77748221,0
-379.8276171,68.79088831,0
-381.814736,68.81721286,0
-379.8140981,53.27135935,0
-381.7300993,53.22712261,0
-379.8664196,-38.19128292,0
-381.7714881,-38.1652485,0
-379.8357703,-57.1799149,0
-382.0036094,-57.20195258,0
-379.8191193,-148.6547898,0
-381.8545394,-148.6523818,0
-379.8261944,-167.6287127,0
-381.7412398,-167.6615319,0
-379.769004,-259.0705468,0
-381.7142218,-259.0559567,0
-379.8525004,-278.1140217,0
-381.7252353,-278.1242226,0
-687.2980344,-278.1909158,0
-685.4765125,-278.226238,0
-687.4442999,-259.1515744,0
-685.4099398,-259.1375436,0
-687.3272399,-167.7006945,0
-685.4428694,-167.7204463,0
-687.2582151,-148.6607113,0
-685.451283,-148.6368183,0
-687.2985826,-57.248678,0
-685.2703074,-57.24630025,0
-687.3213508,-38.19424335,0
-685.3813539,-38.20247473,0
-687.3245962,53.23409742,0
-685.2751954,53.22217989,0
-687.3507932,68.76278849,0
-685.3588505,68.83736353,0
