mission_id,mission_type,operate_type,x,y,speed(mps),time,
, , , 0.000, 0.000, 0.000, 1637590341.013, 
, , , -225.164, 157.450, 0.000, 1637590342.017, 
, , , -225.164, 157.450, 0.000, 1637590343.027, 
, , , -225.164, 157.450, 0.000, 1637590344.034, 
, , , -225.164, 157.450, 0.000, 1637590345.040, 
, , , -225.164, 157.450, 0.000, 1637590346.056, 
, , , -225.164, 157.450, 0.000, 1637590347.079, 
, , , -225.164, 157.449, 0.000, 1637590348.089, 
, , , -225.164, 157.449, 0.000, 1637590349.097, 
, , , -225.164, 157.449, 0.000, 1637590350.107, 
, , , -225.164, 157.449, 0.000, 1637590351.113, 
, , , -225.164, 157.449, 0.000, 1637590352.118, 
, , , -225.164, 157.449, 0.000, 1637590353.127, 
, , , -225.164, 157.449, 0.000, 1637590354.131, 
, , , -225.164, 157.449, 0.000, 1637590355.136, 
, , , -225.164, 157.453, 0.000, 1637590356.143, 
, , , -225.164, 157.452, 0.000, 1637590357.152, 
, , , -225.164, 157.450, 0.000, 1637590358.162, 
, , , -225.164, 157.450, 0.000, 1637590359.169, 
, , , -225.164, 157.449, 0.000, 1637590360.177, 
, , , -225.164, 157.449, 0.000, 1637590361.188, 
, , , -225.164, 157.449, 0.000, 1637590362.192, 
, , , -225.164, 157.450, 0.000, 1637590363.197, 
, , , -225.164, 157.450, 0.000, 1637590364.208, 
, , , -225.164, 157.450, 0.000, 1637590365.212, 
, , , -225.164, 157.450, 0.000, 1637590366.221, 
, , , -225.164, 157.450, 0.000, 1637590367.236, 
, , , -225.164, 157.450, 0.000, 1637590368.243, 
, , , -225.164, 157.450, 0.000, 1637590369.249, 
, , , -225.164, 157.449, 0.000, 1637590370.253, 
, , , -225.164, 157.449, 0.000, 1637590371.259, 
, , , -225.164, 157.449, 0.000, 1637590372.264, 
, , , -225.164, 157.449, 0.000, 1637590373.269, 
, , , -225.164, 157.449, 0.000, 1637590374.279, 
, , , -225.164, 157.449, 0.000, 1637590375.285, 
, , , -225.164, 157.449, 0.000, 1637590376.295, 
, , , -225.164, 157.449, 0.000, 1637590377.304, 
, , , -225.164, 157.449, 0.000, 1637590378.308, 
, , , -225.164, 157.449, 0.000, 1637590379.318, 
, , , -225.164, 157.449, 0.000, 1637590380.328, 
, , , -225.164, 157.449, 0.000, 1637590381.338, 
, , , -225.164, 157.449, 0.000, 1637590382.344, 
, , , -225.164, 157.449, 0.000, 1637590383.350, 
, , , -225.164, 157.449, 0.000, 1637590384.354, 
, , , -225.164, 157.449, 0.000, 1637590385.363, 
, , , -225.164, 157.448, 0.000, 1637590386.370, 
, , , -225.164, 157.448, 0.000, 1637590387.376, 
, , , -225.164, 157.448, 0.000, 1637590388.385, 
, , , -225.164, 157.448, 0.000, 1637590389.393, 
, , , -225.164, 157.448, 0.000, 1637590390.399, 
, , , -225.164, 157.448, 0.000, 1637590391.406, 
, , , -225.164, 157.448, 0.000, 1637590392.412, 
, , , -225.164, 157.448, 0.000, 1637590393.419, 
, , , -225.164, 157.448, 0.000, 1637590394.426, 
, , , -225.164, 157.448, 0.000, 1637590395.438, 
, , , -225.164, 157.448, 0.000, 1637590396.443, 
, , , -225.164, 157.448, 0.000, 1637590397.447, 
, , , -225.164, 157.447, 0.000, 1637590398.452, 
, , , -225.164, 157.447, 0.000, 1637590399.460, 
, , , -225.164, 157.447, 0.000, 1637590400.466, 
, , , -225.164, 157.447, 0.000, 1637590401.470, 
, , , -225.164, 157.447, 0.000, 1637590402.477, 
, , , -225.164, 157.447, 0.000, 1637590403.483, 
, , , -225.164, 157.447, 0.000, 1637590404.488, 
, , , -225.164, 157.447, 0.000, 1637590405.494, 
, , , -225.164, 157.447, 0.000, 1637590406.500, 
, , , -225.164, 157.447, 0.000, 1637590407.507, 
, , , -225.164, 157.447, 0.000, 1637590408.513, 
, , , -225.164, 157.446, 0.000, 1637590409.521, 
, , , -225.164, 157.446, 0.000, 1637590410.528, 
, , , -225.163, 157.446, 0.000, 1637590411.535, 
, , , -225.163, 157.446, 0.000, 1637590412.541, 
, , , -225.163, 157.446, 0.000, 1637590413.546, 
, , , -225.163, 157.446, 0.000, 1637590414.557, 
, , , -225.163, 157.446, 0.000, 1637590415.562, 
, , , -225.163, 157.446, 0.000, 1637590416.566, 
, , , -225.163, 157.446, 0.000, 1637590417.572, 
, , , -225.163, 157.446, 0.000, 1637590418.577, 
, , , -225.163, 157.446, 0.000, 1637590419.583, 
, , , -225.163, 157.445, 0.000, 1637590420.589, 
, , , -225.163, 157.445, 0.000, 1637590421.599, 
, , , -225.163, 157.445, 0.000, 1637590422.604, 
, , , -225.163, 157.445, 0.000, 1637590423.616, 
, , , -225.163, 157.445, 0.000, 1637590424.621, 
, , , -225.163, 157.445, 0.000, 1637590425.630, 
, , , -225.163, 157.445, 0.000, 1637590426.641, 
, , , -225.163, 157.445, 0.000, 1637590427.646, 
, , , -225.163, 157.445, 0.000, 1637590428.655, 
, , , -225.163, 157.445, 0.000, 1637590429.666, 
, , , -225.163, 157.445, 0.000, 1637590430.670, 
, , , -225.163, 157.445, 0.000, 1637590431.678, 
, , , -225.164, 157.445, 0.000, 1637590432.685, 
, , , -225.164, 157.445, 0.000, 1637590433.691, 
, , , -225.164, 157.445, 0.000, 1637590434.701, 
, , , -225.164, 157.445, 0.000, 1637590435.707, 
, , , -225.164, 157.445, 0.000, 1637590436.714, 
, , , -225.164, 157.445, 0.000, 1637590437.728, 
, , , -225.164, 157.445, 0.000, 1637590438.733, 
, , , -225.164, 157.445, 0.000, 1637590439.739, 
, , , -225.164, 157.445, 0.000, 1637590440.744, 
, , , -225.163, 157.445, 0.000, 1637590441.749, 
, , , -225.163, 157.445, 0.000, 1637590442.753, 
, , , -225.163, 157.445, 0.000, 1637590443.758, 
, , , -225.163, 157.445, 0.000, 1637590444.763, 
, , , -225.163, 157.445, 0.000, 1637590445.768, 
, , , -225.165, 157.445, 0.000, 1637590446.774, 
, , , -225.166, 157.446, 0.000, 1637590447.780, 
, , , -225.165, 157.447, 0.000, 1637590448.785, 
, , , -225.165, 157.447, 0.000, 1637590449.791, 
, , , -225.165, 157.447, 0.000, 1637590450.801, 
, , , -225.165, 157.446, 0.000, 1637590451.814, 
, , , -225.165, 157.446, 0.000, 1637590452.821, 
, , , -225.165, 157.446, 0.000, 1637590453.831, 
, , , -225.165, 157.446, 0.000, 1637590454.835, 
, , , -225.165, 157.446, 0.000, 1637590455.841, 
, , , -225.165, 157.446, 0.000, 1637590456.847, 
, , , -225.165, 157.446, 0.000, 1637590457.851, 
, , , -225.165, 157.446, 0.000, 1637590458.860, 
, , , -225.164, 157.446, 0.000, 1637590459.865, 
, , , -225.164, 157.446, 0.000, 1637590460.873, 
, , , -225.164, 157.446, 0.000, 1637590461.878, 
, , , -225.164, 157.446, 0.000, 1637590462.884, 
, , , -225.163, 157.446, 0.000, 1637590463.889, 
, , , -225.163, 157.446, 0.000, 1637590464.896, 
, , , -225.163, 157.446, 0.000, 1637590465.901, 
, , , -225.163, 157.446, 0.000, 1637590466.908, 
, , , -225.163, 157.446, 0.000, 1637590467.919, 
, , , -225.163, 157.446, 0.000, 1637590468.923, 
, , , -225.163, 157.446, 0.000, 1637590469.935, 
, , , -225.163, 157.446, 0.000, 1637590470.942, 
, , , -225.163, 157.446, 0.000, 1637590471.946, 
, , , -225.163, 157.446, 0.000, 1637590472.959, 
, , , -225.163, 157.446, 0.000, 1637590473.964, 
, , , -225.163, 157.446, 0.000, 1637590474.971, 
, , , -225.163, 157.446, 0.000, 1637590475.981, 
, , , -225.163, 157.446, 0.000, 1637590476.989, 
, , , -225.163, 157.446, 0.000, 1637590478.001, 
, , , -225.163, 157.446, 0.000, 1637590479.007, 
, , , -225.163, 157.446, 0.000, 1637590480.012, 
, , , -225.163, 157.446, 0.000, 1637590481.028, 
, , , -225.163, 157.446, 0.000, 1637590482.035, 
, , , -225.163, 157.446, 0.000, 1637590483.041, 
, , , -225.163, 157.446, 0.000, 1637590484.050, 
, , , -225.163, 157.447, 0.000, 1637590485.057, 
, , , -225.163, 157.447, 0.000, 1637590486.064, 
, , , -225.164, 157.448, 0.000, 1637590487.068, 
, , , -225.165, 157.448, 0.000, 1637590488.075, 
, , , -225.165, 157.448, 0.000, 1637590489.087, 
, , , -225.165, 157.448, 0.000, 1637590490.099, 
, , , -225.165, 157.448, 0.000, 1637590491.105, 
, , , -225.165, 157.448, 0.000, 1637590492.109, 
, , , -225.165, 157.448, 0.000, 1637590493.115, 
, , , -225.165, 157.448, 0.000, 1637590494.123, 
, , , -225.165, 157.448, 0.000, 1637590495.133, 
, , , -225.165, 157.448, 0.000, 1637590496.139, 
, , , -225.165, 157.448, 0.000, 1637590497.145, 
, , , -225.165, 157.448, 0.000, 1637590498.158, 
, , , -225.165, 157.448, 0.000, 1637590499.164, 
, , , -225.165, 157.448, 0.000, 1637590500.169, 
, , , -225.165, 157.448, 0.000, 1637590501.174, 
, , , -225.165, 157.448, 0.000, 1637590502.179, 
, , , -225.165, 157.448, 0.000, 1637590503.187, 
, , , -225.165, 157.448, 0.000, 1637590504.192, 
, , , -225.165, 157.448, 0.000, 1637590505.197, 
, , , -225.165, 157.448, 0.000, 1637590506.203, 
, , , -225.165, 157.448, 0.000, 1637590507.212, 
, , , -225.165, 157.448, 0.000, 1637590508.225, 
, , , -225.165, 157.448, 0.000, 1637590509.231, 
, , , -225.165, 157.448, 0.000, 1637590510.239, 
, , , -225.165, 157.448, 0.000, 1637590511.247, 
, , , -225.165, 157.448, 0.000, 1637590512.257, 
, , , -225.165, 157.448, 0.000, 1637590513.263, 
, , , -225.165, 157.448, 0.000, 1637590514.269, 
, , , -225.165, 157.448, 0.000, 1637590515.275, 
, , , -225.165, 157.448, 0.000, 1637590516.279, 
, , , -225.165, 157.448, 0.000, 1637590517.285, 
, , , -225.165, 157.448, 0.000, 1637590518.290, 
, , , -225.165, 157.448, 0.000, 1637590519.297, 
, , , -225.165, 157.448, 0.000, 1637590520.305, 
, , , -225.165, 157.448, 0.000, 1637590521.309, 
, , , -225.165, 157.448, 0.000, 1637590522.315, 
, , , -225.165, 157.448, 0.000, 1637590523.341, 
, , , -225.165, 157.448, 0.000, 1637590524.348, 
, , , -225.165, 157.448, 0.000, 1637590525.359, 
, , , -225.165, 157.448, 0.000, 1637590526.366, 
, , , -225.165, 157.448, 0.000, 1637590527.375, 
, , , -225.165, 157.448, 0.000, 1637590528.384, 
, , , -225.165, 157.448, 0.000, 1637590529.391, 
, , , -225.165, 157.448, 0.000, 1637590530.397, 
, , , -225.165, 157.448, 0.000, 1637590531.402, 
, , , -225.165, 157.448, 0.000, 1637590532.410, 
, , , -225.165, 157.448, 0.000, 1637590533.422, 
, , , -225.165, 157.448, 0.000, 1637590534.430, 
, , , -225.165, 157.449, 0.000, 1637590535.435, 
, , , -225.165, 157.449, 0.000, 1637590536.439, 
, , , -225.165, 157.449, 0.000, 1637590537.444, 
, , , -225.165, 157.449, 0.000, 1637590538.451, 
, , , -225.165, 157.449, 0.000, 1637590539.463, 
, , , -225.165, 157.449, 0.000, 1637590540.470, 
, , , -225.165, 157.449, 0.000, 1637590541.478, 
, , , -225.165, 157.449, 0.000, 1637590542.485, 
, , , -225.165, 157.449, 0.000, 1637590543.490, 
, , , -225.165, 157.449, 0.000, 1637590544.494, 
, , , -225.165, 157.448, 0.000, 1637590545.501, 
, , , -225.165, 157.448, 0.000, 1637590546.510, 
, , , -225.165, 157.448, 0.000, 1637590547.518, 
, , , -225.165, 157.448, 0.000, 1637590548.523, 
, , , -225.165, 157.448, 0.000, 1637590549.529, 
, , , -225.165, 157.448, 0.000, 1637590550.534, 
, , , -225.165, 157.448, 0.000, 1637590551.539, 
, , , -225.165, 157.448, 0.000, 1637590552.544, 
, , , -225.165, 157.448, 0.000, 1637590553.551, 
, , , -225.165, 157.448, 0.000, 1637590554.557, 
, , , -225.165, 157.448, 0.000, 1637590555.563, 
, , , -225.165, 157.448, 0.000, 1637590556.570, 
, , , -225.165, 157.448, 0.000, 1637590557.577, 
, , , -225.165, 157.448, 0.000, 1637590558.583, 
, , , -225.165, 157.448, 0.000, 1637590559.588, 
, , , -225.165, 157.448, 0.000, 1637590560.592, 
, , , -225.165, 157.448, 0.000, 1637590561.597, 
, , , -225.165, 157.448, 0.000, 1637590562.602, 
, , , -225.165, 157.448, 0.000, 1637590563.607, 
, , , -225.165, 157.448, 0.000, 1637590564.611, 
, , , -225.165, 157.448, 0.000, 1637590565.614, 
, , , -225.164, 157.448, 0.000, 1637590566.625, 
, , , -225.164, 157.448, 0.000, 1637590567.629, 
, , , -225.163, 157.448, 0.000, 1637590568.637, 
, , , -225.163, 157.448, 0.000, 1637590569.641, 
, , , -225.163, 157.448, 0.000, 1637590570.646, 
, , , -225.163, 157.448, 0.000, 1637590571.651, 
, , , -225.163, 157.448, 0.000, 1637590572.654, 
, , , -225.163, 157.448, 0.000, 1637590573.659, 
, , , -225.166, 157.446, 0.000, 1637590574.671, 
, , , -225.169, 157.444, 0.000, 1637590575.680, 
, , , -225.169, 157.444, 0.000, 1637590576.686, 
, , , -225.170, 157.443, 0.000, 1637590577.689, 
, , , -225.170, 157.443, 0.000, 1637590578.692, 
, , , -225.170, 157.443, 0.000, 1637590579.696, 
, , , -225.170, 157.442, 0.000, 1637590580.700, 
, , , -225.170, 157.442, 0.000, 1637590581.705, 
, , , -225.170, 157.442, 0.000, 1637590582.721, 
, , , -225.169, 157.442, 0.000, 1637590583.727, 
, , , -225.169, 157.441, 0.000, 1637590584.732, 
, , , -225.169, 157.441, 0.000, 1637590585.737, 
, , , -225.169, 157.441, 0.000, 1637590586.741, 
, , , -225.169, 157.441, 0.000, 1637590587.744, 
, , , -225.169, 157.441, 0.000, 1637590588.750, 
, , , -225.169, 157.441, 0.000, 1637590589.754, 
, , , -225.170, 157.441, 0.000, 1637590590.759, 
, , , -225.170, 157.441, 0.000, 1637590591.764, 
, , , -225.170, 157.441, 0.000, 1637590592.767, 
, , , -225.170, 157.441, 0.000, 1637590593.772, 
, , , -225.170, 157.441, 0.000, 1637590594.784, 
, , , -225.170, 157.441, 0.000, 1637590595.789, 
, , , -225.170, 157.441, 0.000, 1637590596.793, 
, , , -225.170, 157.441, 0.000, 1637590597.797, 
, , , -225.170, 157.441, 0.000, 1637590598.802, 
, , , -225.171, 157.441, 0.000, 1637590599.807, 
, , , -225.171, 157.441, 0.000, 1637590600.811, 
, , , -225.171, 157.441, 0.000, 1637590601.815, 
, , , -225.171, 157.442, 0.000, 1637590602.827, 
, , , -225.171, 157.442, 0.000, 1637590603.831, 
, , , -225.172, 157.442, 0.000, 1637590604.836, 
, , , -225.172, 157.442, 0.000, 1637590605.839, 
, , , -225.172, 157.442, 0.000, 1637590606.842, 
, , , -225.172, 157.442, 0.000, 1637590607.845, 
, , , -225.172, 157.442, 0.000, 1637590608.848, 
, , , -225.173, 157.443, 0.000, 1637590609.852, 
, , , -225.173, 157.443, 0.000, 1637590610.856, 
, , , -225.173, 157.443, 0.000, 1637590611.861, 
, , , -225.173, 157.443, 0.000, 1637590612.864, 
, , , -225.173, 157.443, 0.000, 1637590613.868, 
, , , -225.174, 157.443, 0.000, 1637590614.876, 
, , , -225.174, 157.443, 0.000, 1637590615.880, 
, , , -225.174, 157.444, 0.000, 1637590616.884, 
, , , -225.174, 157.444, 0.000, 1637590617.891, 
, , , -225.174, 157.444, 0.000, 1637590618.896, 
, , , -225.175, 157.444, 0.000, 1637590619.900, 
, , , -225.175, 157.444, 0.000, 1637590620.904, 
, , , -225.175, 157.444, 0.000, 1637590621.909, 
, , , -225.175, 157.444, 0.000, 1637590622.915, 
, , , -225.175, 157.444, 0.000, 1637590623.927, 
, , , -225.175, 157.444, 0.000, 1637590624.931, 
, , , -225.175, 157.444, 0.000, 1637590625.939, 
, , , -225.175, 157.444, 0.000, 1637590626.942, 
, , , -225.175, 157.445, 0.000, 1637590627.946, 
, , , -225.176, 157.445, 0.000, 1637590628.949, 
, , , -225.176, 157.445, 0.000, 1637590629.953, 
, , , -225.176, 157.445, 0.000, 1637590630.958, 
, , , -225.176, 157.445, 0.000, 1637590631.967, 
, , , -225.176, 157.445, 0.000, 1637590632.971, 
, , , -225.176, 157.445, 0.000, 1637590633.977, 
, , , -225.176, 157.445, 0.000, 1637590634.980, 
, , , -225.176, 157.445, 0.000, 1637590635.984, 
, , , -225.176, 157.445, 0.000, 1637590636.987, 
, , , -225.176, 157.445, 0.000, 1637590637.993, 
, , , -225.176, 157.446, 0.000, 1637590639.000, 
, , , -225.176, 157.446, 0.000, 1637590640.003, 
, , , -225.175, 157.445, 0.000, 1637590641.006, 
, , , -225.175, 157.445, 0.000, 1637590642.013, 
, , , -225.175, 157.445, 0.000, 1637590643.020, 
, , , -225.175, 157.445, 0.000, 1637590644.025, 
, , , -225.175, 157.445, 0.000, 1637590645.029, 
, , , -225.175, 157.445, 0.000, 1637590646.034, 
, , , -225.174, 157.445, 0.000, 1637590647.038, 
, , , -225.174, 157.445, 0.000, 1637590648.041, 
, , , -225.174, 157.445, 0.000, 1637590649.049, 
, , , -225.174, 157.445, 0.000, 1637590650.053, 
, , , -225.174, 157.445, 0.000, 1637590651.056, 
, , , -225.173, 157.444, 0.000, 1637590652.059, 
, , , -225.173, 157.444, 0.000, 1637590653.065, 
, , , -225.173, 157.444, 0.000, 1637590654.070, 
, , , -225.173, 157.444, 0.000, 1637590655.077, 
, , , -225.173, 157.444, 0.000, 1637590656.081, 
, , , -225.172, 157.444, 0.000, 1637590657.086, 
, , , -225.172, 157.444, 0.000, 1637590658.090, 
, , , -225.172, 157.444, 0.000, 1637590659.093, 
, , , -225.172, 157.444, 0.000, 1637590660.101, 
, , , -225.172, 157.443, 0.000, 1637590661.105, 
, , , -225.171, 157.443, 0.000, 1637590662.108, 
, , , -225.171, 157.443, 0.000, 1637590663.112, 
, , , -225.171, 157.443, 0.000, 1637590664.126, 
, , , -225.171, 157.443, 0.000, 1637590665.129, 
, , , -225.171, 157.443, 0.000, 1637590666.133, 
, , , -225.170, 157.443, 0.000, 1637590667.137, 
, , , -225.170, 157.443, 0.000, 1637590668.140, 
, , , -225.170, 157.443, 0.000, 1637590669.144, 
, , , -225.170, 157.443, 0.000, 1637590670.150, 
, , , -225.170, 157.443, 0.000, 1637590671.154, 
, , , -225.169, 157.443, 0.000, 1637590672.157, 
, , , -225.169, 157.443, 0.000, 1637590673.162, 
, , , -225.169, 157.443, 0.000, 1637590674.170, 
, , , -225.169, 157.442, 0.000, 1637590675.176, 
, , , -225.169, 157.442, 0.000, 1637590676.180, 
, , , -225.169, 157.442, 0.000, 1637590677.185, 
, , , -225.169, 157.442, 0.000, 1637590678.188, 
, , , -225.169, 157.442, 0.000, 1637590679.195, 
, , , -225.168, 157.442, 0.000, 1637590680.199, 
, , , -225.168, 157.442, 0.000, 1637590681.203, 
, , , -225.168, 157.442, 0.000, 1637590682.207, 
, , , -225.168, 157.442, 0.000, 1637590683.213, 
, , , -225.168, 157.442, 0.000, 1637590684.225, 
, , , -225.168, 157.442, 0.000, 1637590685.230, 
, , , -225.168, 157.442, 0.000, 1637590686.236, 
, , , -225.168, 157.442, 0.000, 1637590687.239, 
, , , -225.168, 157.442, 0.000, 1637590688.243, 
, , , -225.168, 157.442, 0.000, 1637590689.246, 
, , , -225.168, 157.442, 0.000, 1637590690.250, 
, , , -225.168, 157.442, 0.000, 1637590691.255, 
, , , -225.168, 157.442, 0.000, 1637590692.259, 
, , , -225.168, 157.442, 0.000, 1637590693.265, 
, , , -225.168, 157.442, 0.000, 1637590694.269, 
, , , -225.168, 157.442, 0.000, 1637590695.272, 
, , , -225.169, 157.443, 0.000, 1637590696.278, 
, , , -225.169, 157.443, 0.000, 1637590697.288, 
, , , -225.169, 157.443, 0.000, 1637590698.293, 
, , , -225.169, 157.443, 0.000, 1637590699.297, 
, , , -225.169, 157.443, 0.000, 1637590700.302, 
, , , -225.169, 157.443, 0.000, 1637590701.306, 
, , , -225.169, 157.443, 0.000, 1637590702.310, 
, , , -225.170, 157.443, 0.000, 1637590703.313, 
, , , -225.170, 157.443, 0.000, 1637590704.319, 
, , , -225.170, 157.444, 0.000, 1637590705.325, 
, , , -225.170, 157.444, 0.000, 1637590706.333, 
, , , -225.170, 157.444, 0.000, 1637590707.339, 
, , , -225.170, 157.444, 0.000, 1637590708.342, 
, , , -225.171, 157.444, 0.000, 1637590709.345, 
, , , -225.171, 157.444, 0.000, 1637590710.350, 
, , , -225.171, 157.444, 0.000, 1637590711.354, 
, , , -225.171, 157.444, 0.000, 1637590712.360, 
, , , -225.171, 157.444, 0.000, 1637590713.364, 
, , , -225.172, 157.445, 0.000, 1637590714.368, 
, , , -225.172, 157.445, 0.000, 1637590715.372, 
, , , -225.172, 157.445, 0.000, 1637590716.380, 
, , , -225.172, 157.445, 0.000, 1637590717.384, 
, , , -225.172, 157.445, 0.000, 1637590718.389, 
, , , -225.172, 157.445, 0.000, 1637590719.392, 
, , , -225.173, 157.445, 0.000, 1637590720.399, 
, , , -225.173, 157.445, 0.000, 1637590721.404, 
, , , -225.173, 157.446, 0.000, 1637590722.408, 
, , , -225.173, 157.446, 0.000, 1637590723.412, 
, , , -225.173, 157.446, 0.000, 1637590724.420, 
, , , -225.173, 157.446, 0.000, 1637590725.430, 
, , , -225.173, 157.446, 0.000, 1637590726.435, 
, , , -225.174, 157.446, 0.000, 1637590727.440, 
, , , -225.174, 157.446, 0.000, 1637590728.445, 
, , , -225.174, 157.446, 0.000, 1637590729.452, 
, , , -225.174, 157.446, 0.000, 1637590730.456, 
, , , -225.174, 157.446, 0.000, 1637590731.459, 
, , , -225.174, 157.446, 0.000, 1637590732.464, 
, , , -225.174, 157.446, 0.000, 1637590733.468, 
, , , -225.174, 157.447, 0.000, 1637590734.473, 
, , , -225.174, 157.447, 0.000, 1637590735.480, 
, , , -225.174, 157.447, 0.000, 1637590736.487, 
, , , -225.174, 157.447, 0.000, 1637590737.491, 
, , , -225.174, 157.447, 0.000, 1637590738.496, 
, , , -225.174, 157.447, 0.000, 1637590739.501, 
, , , -225.174, 157.447, 0.000, 1637590740.504, 
, , , -225.174, 157.447, 0.000, 1637590741.509, 
, , , -225.174, 157.447, 0.000, 1637590742.514, 
, , , -225.174, 157.447, 0.000, 1637590743.525, 
, , , -225.174, 157.447, 0.000, 1637590744.530, 
, , , -225.174, 157.447, 0.000, 1637590745.533, 
, , , -225.174, 157.447, 0.000, 1637590746.536, 
, , , -225.174, 157.448, 0.000, 1637590747.539, 
, , , -225.174, 157.448, 0.000, 1637590748.543, 
, , , -225.174, 157.448, 0.000, 1637590749.550, 
