mission_id,mission_type,operate_type,x,y,speed(mps),time,
, , , 0.000, 0.000, 0.000, 1638289651.469, 
, , , 80.449, 126.791, 0.000, 1638289652.472, 
, , , 80.448, 126.791, 0.000, 1638289653.479, 
, , , 80.448, 126.791, 0.000, 1638289654.485,
, , , 80.448, 126.791, 0.000, 1638289655.491, 
, , , 80.448, 126.791, 0.000, 1638289656.498, 
, , , 80.448, 126.791, 0.000, 1638289657.503, 
, , , 80.448, 126.791, 0.000, 1638289658.509, 
, , , 80.448, 126.791, 0.000, 1638289659.519, 
, , , 80.448, 126.791, 0.000, 1638289660.523, 
, , , 80.448, 126.792, 0.000, 1638289661.538, 
, , , 80.449, 126.791, 0.000, 1638289662.547, 
, , , 80.449, 126.791, 0.000, 1638289663.551, 
, , , 80.449, 126.791, 0.000, 1638289664.556, 
, , , 80.449, 126.791, 0.000, 1638289665.560, 
, , , 80.449, 126.791, 0.000, 1638289666.565, 
, , , 80.449, 126.791, 0.000, 1638289667.575, 
, , , 80.449, 126.791, 0.000, 1638289668.581, 
, , , 80.449, 126.791, 0.000, 1638289669.585, 
, , , 80.448, 126.786, 0.000, 1638289670.590, 
, , , 80.448, 126.790, 0.000, 1638289671.596, 
, , , 80.449, 126.791, 0.000, 1638289672.607, 
, , , 80.449, 126.791, 0.000, 1638289673.611, 
, , , 80.448, 126.791, 0.000, 1638289674.615, 
, , , 80.448, 126.791, 0.000, 1638289675.619, 
, , , 80.448, 126.791, 0.000, 1638289676.627, 
, , , 80.448, 126.791, 0.000, 1638289677.633, 
, , , 80.448, 126.791, 0.000, 1638289678.636, 
, , , 80.448, 126.791, 0.000, 1638289679.642, 
, , , 80.448, 126.791, 0.000, 1638289680.646, 
, , , 80.448, 126.791, 0.000, 1638289681.650, 
, , , 80.448, 126.791, 0.000, 1638289682.654, 
, , , 80.449, 126.791, 0.000, 1638289683.658, 
, , , 80.449, 126.791, 0.000, 1638289684.661, 
, , , 80.449, 126.791, 0.000, 1638289685.665, 
, , , 80.449, 126.791, 0.000, 1638289686.668, 
, , , 80.448, 126.791, 0.000, 1638289687.671, 
, , , 80.448, 126.791, 0.000, 1638289688.675, 
, , , 80.448, 126.791, 0.000, 1638289689.678, 
, , , 80.448, 126.791, 0.000, 1638289690.684, 
, , , 80.447, 126.791, 0.000, 1638289691.688, 
, , , 80.447, 126.792, 0.000, 1638289692.693, 
, , , 80.447, 126.792, 0.000, 1638289693.696, 
, , , 80.448, 126.792, 0.000, 1638289694.699, 
, , , 80.448, 126.792, 0.000, 1638289695.703, 
, , , 80.448, 126.792, 0.000, 1638289696.708, 
, , , 80.448, 126.792, 0.000, 1638289697.714, 
, , , 80.448, 126.793, 0.000, 1638289698.717, 
, , , 80.448, 126.793, 0.000, 1638289699.720, 
, , , 80.448, 126.793, 0.000, 1638289700.724, 
, , , 80.447, 126.792, 0.000, 1638289701.729, 
, , , 80.447, 126.792, 0.000, 1638289702.732, 
, , , 80.446, 126.792, 0.000, 1638289703.736, 
, , , 80.446, 126.792, 0.000, 1638289704.739, 
, , , 80.447, 126.792, 0.000, 1638289705.743, 
, , , 80.447, 126.792, 0.000, 1638289706.747, 
, , , 80.447, 126.792, 0.000, 1638289707.750, 
, , , 80.447, 126.792, 0.000, 1638289708.753, 
, , , 80.447, 126.792, 0.000, 1638289709.756, 
, , , 80.447, 126.792, 0.000, 1638289710.760, 
, , , 80.448, 126.792, 0.000, 1638289711.765, 
, , , 80.448, 126.792, 0.000, 1638289712.768, 
, , , 80.448, 126.792, 0.000, 1638289713.772, 
, , , 80.448, 126.792, 0.000, 1638289714.777, 
, , , 80.448, 126.792, 0.000, 1638289715.783, 
, , , 80.448, 126.792, 0.000, 1638289716.786, 
, , , 80.448, 126.792, 0.000, 1638289717.790, 
, , , 80.448, 126.792, 0.000, 1638289718.796, 
, , , 80.448, 126.791, 0.000, 1638289719.800, 
, , , 80.448, 126.791, 0.000, 1638289720.804, 
, , , 80.448, 126.791, 0.000, 1638289721.814, 
, , , 80.447, 126.791, 0.000, 1638289722.818, 
, , , 80.447, 126.791, 0.000, 1638289723.821, 
, , , 80.448, 126.791, 0.000, 1638289724.827, 
, , , 80.449, 126.790, 0.000, 1638289725.831, 
, , , 80.449, 126.790, 0.000, 1638289726.837, 
, , , 80.449, 126.789, 0.000, 1638289727.841, 
, , , 80.450, 126.789, 0.000, 1638289728.845, 
, , , 80.450, 126.789, 0.000, 1638289729.850, 
, , , 80.450, 126.789, 0.000, 1638289730.854, 
, , , 80.450, 126.789, 0.000, 1638289731.860, 
, , , 80.450, 126.789, 0.000, 1638289732.865, 
, , , 80.450, 126.789, 0.000, 1638289733.869, 
, , , 80.450, 126.789, 0.000, 1638289734.873, 
, , , 80.451, 126.789, 0.000, 1638289735.879, 
, , , 80.453, 126.789, 0.000, 1638289736.882, 
, , , 80.455, 126.788, 0.000, 1638289737.886, 
, , , 80.455, 126.787, 0.000, 1638289738.890, 
, , , 80.456, 126.787, 0.000, 1638289739.893, 
, , , 80.456, 126.786, 0.000, 1638289740.897, 
, , , 80.456, 126.786, 0.000, 1638289741.904, 
, , , 80.457, 126.785, 0.000, 1638289742.911, 
, , , 80.457, 126.785, 0.000, 1638289743.916, 
, , , 80.457, 126.784, 0.000, 1638289744.923, 
, , , 80.457, 126.784, 0.000, 1638289745.927, 
